industry,job_title,level,years_of_experience,skills,certifications,ai_training_corpus
Data Science,Data Science Manager,Manager,7,"['PyTorch', 'NumPy', 'Spark', 'SQL']",[],"Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 7 years. Key Skills: PyTorch, NumPy, Spark, SQL. Key Skills: PyTorch, NumPy, Spark, SQL. Key Skills: PyTorch, NumPy, Spark, SQL. "
Software Engineering,Engineering Manager,Manager,17,"['React', 'Java', 'Microservices', 'PostgreSQL', 'System Design', 'Python']",[],"Job Title: Engineering Manager Job Title: Engineering Manager Job Title: Engineering Manager Career Level: Manager Career Level: Manager Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 17 years. Key Skills: React, Java, Microservices, PostgreSQL, System Design, Python. Key Skills: React, Java, Microservices, PostgreSQL, System Design, Python. Key Skills: React, Java, Microservices, PostgreSQL, System Design, Python. "
Cloud Engineering,Cloud Architect,Mid-Level,4,"['GCP', 'Jenkins', 'Prometheus', 'Kubernetes']","['Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect']","Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 4 years. Key Skills: GCP, Jenkins, Prometheus, Kubernetes. Key Skills: GCP, Jenkins, Prometheus, Kubernetes. Key Skills: GCP, Jenkins, Prometheus, Kubernetes. Relevant Certifications: Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect. "
Software Engineering,Principal Engineer,Lead/Principal,10,"['Python', 'Java', 'JavaScript', 'MongoDB', 'SQL']",['Certified Kubernetes Application Developer (CKAD)'],"Job Title: Principal Engineer Job Title: Principal Engineer Job Title: Principal Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 10 years. Key Skills: Python, Java, JavaScript, MongoDB, SQL. Key Skills: Python, Java, JavaScript, MongoDB, SQL. Key Skills: Python, Java, JavaScript, MongoDB, SQL. Relevant Certifications: Certified Kubernetes Application Developer (CKAD). "
Software Engineering,Senior Software Engineer,Senior,5,"['Docker', 'Python', 'Java', 'Kubernetes', 'Microservices', 'React']",[],"Job Title: Senior Software Engineer Job Title: Senior Software Engineer Job Title: Senior Software Engineer Career Level: Senior Career Level: Senior Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 5 years. Key Skills: Docker, Python, Java, Kubernetes, Microservices, React. Key Skills: Docker, Python, Java, Kubernetes, Microservices, React. Key Skills: Docker, Python, Java, Kubernetes, Microservices, React. "
Data Science,Data Scientist,Entry,1,"['R', 'PyTorch', 'Statistics', 'Spark', 'Python']",['Google Professional Data Engineer'],"Job Title: Data Scientist Job Title: Data Scientist Job Title: Data Scientist Career Level: Entry Career Level: Entry Industry: Data Science Industry: Data Science Years of Experience: approximately 1 years. Key Skills: R, PyTorch, Statistics, Spark, Python. Key Skills: R, PyTorch, Statistics, Spark, Python. Key Skills: R, PyTorch, Statistics, Spark, Python. Relevant Certifications: Google Professional Data Engineer. "
Cloud Engineering,Cloud Architect,Entry,2,"['AWS', 'Jenkins', 'Docker', 'Azure', 'Terraform', 'GCP', 'Kubernetes', 'CI/CD']",['Certified Kubernetes Administrator (CKA)'],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: AWS, Jenkins, Docker, Azure, Terraform, GCP, Kubernetes, CI/CD. Key Skills: AWS, Jenkins, Docker, Azure, Terraform, GCP, Kubernetes, CI/CD. Key Skills: AWS, Jenkins, Docker, Azure, Terraform, GCP, Kubernetes, CI/CD. Relevant Certifications: Certified Kubernetes Administrator (CKA). "
Cybersecurity,Security Analyst,Mid-Level,4,"['Network Security', 'Ethical Hacking', 'Intrusion Detection', 'Malware Analysis', 'SIEM', 'Cryptography', 'ISO 27001', 'Firewalls']",['CompTIA Security+'],"Job Title: Security Analyst Job Title: Security Analyst Job Title: Security Analyst Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 4 years. Key Skills: Network Security, Ethical Hacking, Intrusion Detection, Malware Analysis, SIEM, Cryptography, ISO 27001, Firewalls. Key Skills: Network Security, Ethical Hacking, Intrusion Detection, Malware Analysis, SIEM, Cryptography, ISO 27001, Firewalls. Key Skills: Network Security, Ethical Hacking, Intrusion Detection, Malware Analysis, SIEM, Cryptography, ISO 27001, Firewalls. Relevant Certifications: CompTIA Security+. "
Software Engineering,Staff Software Engineer,Lead/Principal,11,"['Microservices', 'System Design', 'MongoDB', 'Python', 'SQL']",[],"Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 11 years. Key Skills: Microservices, System Design, MongoDB, Python, SQL. Key Skills: Microservices, System Design, MongoDB, Python, SQL. Key Skills: Microservices, System Design, MongoDB, Python, SQL. "
Data Science,Data Science Manager,Manager,19,"['PyTorch', 'TensorFlow', 'Big Data', 'R', 'Data Mining']",[],"Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 19 years. Key Skills: PyTorch, TensorFlow, Big Data, R, Data Mining. Key Skills: PyTorch, TensorFlow, Big Data, R, Data Mining. Key Skills: PyTorch, TensorFlow, Big Data, R, Data Mining. "
Cloud Engineering,Cloud Architect,Entry,0,"['Prometheus', 'Jenkins', 'Azure', 'Ansible', 'AWS', 'Terraform', 'GCP']",[],"Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: Prometheus, Jenkins, Azure, Ansible, AWS, Terraform, GCP. Key Skills: Prometheus, Jenkins, Azure, Ansible, AWS, Terraform, GCP. Key Skills: Prometheus, Jenkins, Azure, Ansible, AWS, Terraform, GCP. "
Data Science,Lead Data Scientist,Senior,5,"['Spark', 'Pandas', 'NumPy', 'Data Mining', 'Scikit-learn', 'TensorFlow', 'R', 'SQL']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 5 years. Key Skills: Spark, Pandas, NumPy, Data Mining, Scikit-learn, TensorFlow, R, SQL. Key Skills: Spark, Pandas, NumPy, Data Mining, Scikit-learn, TensorFlow, R, SQL. Key Skills: Spark, Pandas, NumPy, Data Mining, Scikit-learn, TensorFlow, R, SQL. "
Cloud Engineering,DevOps Engineer,Entry,2,"['Terraform', 'Azure', 'AWS', 'GCP']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Terraform, Azure, AWS, GCP. Key Skills: Terraform, Azure, AWS, GCP. Key Skills: Terraform, Azure, AWS, GCP. "
Product Management,Group Product Manager,Manager,17,"['User Research', 'Scrum', 'JIRA', 'A/B Testing', 'Product Strategy', 'Roadmapping', 'Market Analysis']",['Certified Scrum Product Owner (CSPO)'],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 17 years. Key Skills: User Research, Scrum, JIRA, A/B Testing, Product Strategy, Roadmapping, Market Analysis. Key Skills: User Research, Scrum, JIRA, A/B Testing, Product Strategy, Roadmapping, Market Analysis. Key Skills: User Research, Scrum, JIRA, A/B Testing, Product Strategy, Roadmapping, Market Analysis. Relevant Certifications: Certified Scrum Product Owner (CSPO). "
Software Engineering,Engineering Manager,Manager,18,"['Go', 'MongoDB', 'SQL', 'Docker']",['Certified Kubernetes Application Developer (CKAD)'],"Job Title: Engineering Manager Job Title: Engineering Manager Job Title: Engineering Manager Career Level: Manager Career Level: Manager Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 18 years. Key Skills: Go, MongoDB, SQL, Docker. Key Skills: Go, MongoDB, SQL, Docker. Key Skills: Go, MongoDB, SQL, Docker. Relevant Certifications: Certified Kubernetes Application Developer (CKAD). "
Cloud Engineering,Cloud Engineer,Mid-Level,5,"['Docker', 'Prometheus', 'Jenkins', 'Kubernetes', 'Terraform']","['Certified Kubernetes Administrator (CKA)', 'Google Certified Professional Cloud Architect', 'Microsoft Certified: Azure Administrator']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 5 years. Key Skills: Docker, Prometheus, Jenkins, Kubernetes, Terraform. Key Skills: Docker, Prometheus, Jenkins, Kubernetes, Terraform. Key Skills: Docker, Prometheus, Jenkins, Kubernetes, Terraform. Relevant Certifications: Certified Kubernetes Administrator (CKA), Google Certified Professional Cloud Architect, Microsoft Certified: Azure Administrator. "
Data Science,Senior Data Scientist,Senior,9,"['Scikit-learn', 'PyTorch', 'R', 'Pandas']",[],"Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 9 years. Key Skills: Scikit-learn, PyTorch, R, Pandas. Key Skills: Scikit-learn, PyTorch, R, Pandas. Key Skills: Scikit-learn, PyTorch, R, Pandas. "
Software Engineering,Principal Engineer,Lead/Principal,9,"['Kubernetes', 'System Design', 'MongoDB', 'Python']",['Certified Kubernetes Application Developer (CKAD)'],"Job Title: Principal Engineer Job Title: Principal Engineer Job Title: Principal Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 9 years. Key Skills: Kubernetes, System Design, MongoDB, Python. Key Skills: Kubernetes, System Design, MongoDB, Python. Key Skills: Kubernetes, System Design, MongoDB, Python. Relevant Certifications: Certified Kubernetes Application Developer (CKAD). "
Cybersecurity,Security Engineer,Mid-Level,4,"['SIEM', 'ISO 27001', 'Intrusion Detection', 'Network Security', 'Cryptography', 'Ethical Hacking']",[],"Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 4 years. Key Skills: SIEM, ISO 27001, Intrusion Detection, Network Security, Cryptography, Ethical Hacking. Key Skills: SIEM, ISO 27001, Intrusion Detection, Network Security, Cryptography, Ethical Hacking. Key Skills: SIEM, ISO 27001, Intrusion Detection, Network Security, Cryptography, Ethical Hacking. "
Cloud Engineering,Cloud Architect,Entry,0,"['AWS', 'Jenkins', 'CI/CD', 'GCP', 'Kubernetes']","['Google Certified Professional Cloud Architect', 'AWS Certified Solutions Architect']","Job Title: Cloud Architect Job Title: Cloud Architect Job Title: Cloud Architect Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: AWS, Jenkins, CI/CD, GCP, Kubernetes. Key Skills: AWS, Jenkins, CI/CD, GCP, Kubernetes. Key Skills: AWS, Jenkins, CI/CD, GCP, Kubernetes. Relevant Certifications: Google Certified Professional Cloud Architect, AWS Certified Solutions Architect. "
Cloud Engineering,Site Reliability Engineer (SRE),Entry,0,"['Azure', 'AWS', 'Ansible', 'Prometheus']","['Google Certified Professional Cloud Architect', 'Certified Kubernetes Administrator (CKA)', 'Microsoft Certified: Azure Administrator', 'AWS Certified Solutions Architect']","Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Job Title: Site Reliability Engineer (SRE) Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 0 years. Key Skills: Azure, AWS, Ansible, Prometheus. Key Skills: Azure, AWS, Ansible, Prometheus. Key Skills: Azure, AWS, Ansible, Prometheus. Relevant Certifications: Google Certified Professional Cloud Architect, Certified Kubernetes Administrator (CKA), Microsoft Certified: Azure Administrator, AWS Certified Solutions Architect. "
Data Science,Lead Data Scientist,Senior,6,"['Statistics', 'Spark', 'R', 'Machine Learning', 'PyTorch']",['TensorFlow Developer Certificate'],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 6 years. Key Skills: Statistics, Spark, R, Machine Learning, PyTorch. Key Skills: Statistics, Spark, R, Machine Learning, PyTorch. Key Skills: Statistics, Spark, R, Machine Learning, PyTorch. Relevant Certifications: TensorFlow Developer Certificate. "
Cloud Engineering,DevOps Engineer,Entry,1,"['CI/CD', 'Prometheus', 'Grafana', 'Kubernetes', 'Azure', 'Docker', 'GCP']",[],"Job Title: DevOps Engineer Job Title: DevOps Engineer Job Title: DevOps Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: CI/CD, Prometheus, Grafana, Kubernetes, Azure, Docker, GCP. Key Skills: CI/CD, Prometheus, Grafana, Kubernetes, Azure, Docker, GCP. Key Skills: CI/CD, Prometheus, Grafana, Kubernetes, Azure, Docker, GCP. "
Cloud Engineering,Cloud Engineer,Mid-Level,2,"['Azure', 'Kubernetes', 'Ansible', 'CI/CD', 'AWS', 'Docker', 'Grafana']","['Google Certified Professional Cloud Architect', 'Microsoft Certified: Azure Administrator']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: Azure, Kubernetes, Ansible, CI/CD, AWS, Docker, Grafana. Key Skills: Azure, Kubernetes, Ansible, CI/CD, AWS, Docker, Grafana. Key Skills: Azure, Kubernetes, Ansible, CI/CD, AWS, Docker, Grafana. Relevant Certifications: Google Certified Professional Cloud Architect, Microsoft Certified: Azure Administrator. "
Cybersecurity,Cybersecurity Consultant,Mid-Level,2,"['Intrusion Detection', 'Malware Analysis', 'ISO 27001', 'SIEM', 'Network Security', 'Cryptography', 'Ethical Hacking']","['CompTIA Security+', 'Certified Information Systems Security Professional (CISSP)', 'Certified Ethical Hacker (CEH)']","Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Job Title: Cybersecurity Consultant Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 2 years. Key Skills: Intrusion Detection, Malware Analysis, ISO 27001, SIEM, Network Security, Cryptography, Ethical Hacking. Key Skills: Intrusion Detection, Malware Analysis, ISO 27001, SIEM, Network Security, Cryptography, Ethical Hacking. Key Skills: Intrusion Detection, Malware Analysis, ISO 27001, SIEM, Network Security, Cryptography, Ethical Hacking. Relevant Certifications: CompTIA Security+, Certified Information Systems Security Professional (CISSP), Certified Ethical Hacker (CEH). "
Product Management,Senior Product Manager,Senior,5,"['Market Analysis', 'Roadmapping', 'Product Strategy', 'A/B Testing', 'Scrum']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 5 years. Key Skills: Market Analysis, Roadmapping, Product Strategy, A/B Testing, Scrum. Key Skills: Market Analysis, Roadmapping, Product Strategy, A/B Testing, Scrum. Key Skills: Market Analysis, Roadmapping, Product Strategy, A/B Testing, Scrum. "
Data Science,Senior Data Scientist,Senior,5,"['Data Mining', 'R', 'SQL', 'NumPy', 'Python', 'Statistics', 'PyTorch', 'Scikit-learn']",[],"Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 5 years. Key Skills: Data Mining, R, SQL, NumPy, Python, Statistics, PyTorch, Scikit-learn. Key Skills: Data Mining, R, SQL, NumPy, Python, Statistics, PyTorch, Scikit-learn. Key Skills: Data Mining, R, SQL, NumPy, Python, Statistics, PyTorch, Scikit-learn. "
Product Management,Director of Product,Mid-Level,5,"['A/B Testing', 'JIRA', 'Product Strategy', 'Agile', 'Market Analysis', 'User Research', 'Scrum']",[],"Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Mid-Level Career Level: Mid-Level Industry: Product Management Industry: Product Management Years of Experience: approximately 5 years. Key Skills: A/B Testing, JIRA, Product Strategy, Agile, Market Analysis, User Research, Scrum. Key Skills: A/B Testing, JIRA, Product Strategy, Agile, Market Analysis, User Research, Scrum. Key Skills: A/B Testing, JIRA, Product Strategy, Agile, Market Analysis, User Research, Scrum. "
Product Management,Senior Product Manager,Senior,10,"['Market Analysis', 'Roadmapping', 'Product Strategy', 'User Research', 'Scrum', 'Agile', 'A/B Testing']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 10 years. Key Skills: Market Analysis, Roadmapping, Product Strategy, User Research, Scrum, Agile, A/B Testing. Key Skills: Market Analysis, Roadmapping, Product Strategy, User Research, Scrum, Agile, A/B Testing. Key Skills: Market Analysis, Roadmapping, Product Strategy, User Research, Scrum, Agile, A/B Testing. "
Product Management,Director of Product,Entry,0,"['Scrum', 'A/B Testing', 'Market Analysis', 'Agile', 'Roadmapping', 'User Research']",[],"Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Entry Career Level: Entry Industry: Product Management Industry: Product Management Years of Experience: approximately 0 years. Key Skills: Scrum, A/B Testing, Market Analysis, Agile, Roadmapping, User Research. Key Skills: Scrum, A/B Testing, Market Analysis, Agile, Roadmapping, User Research. Key Skills: Scrum, A/B Testing, Market Analysis, Agile, Roadmapping, User Research. "
Product Management,Director of Product,Entry,1,"['Scrum', 'Product Strategy', 'Market Analysis', 'Roadmapping', 'JIRA']",[],"Job Title: Director of Product Job Title: Director of Product Job Title: Director of Product Career Level: Entry Career Level: Entry Industry: Product Management Industry: Product Management Years of Experience: approximately 1 years. Key Skills: Scrum, Product Strategy, Market Analysis, Roadmapping, JIRA. Key Skills: Scrum, Product Strategy, Market Analysis, Roadmapping, JIRA. Key Skills: Scrum, Product Strategy, Market Analysis, Roadmapping, JIRA. "
Software Engineering,Staff Software Engineer,Lead/Principal,10,"['Microservices', 'System Design', 'Go', 'C++', 'Java', 'MongoDB']","['Certified Kubernetes Application Developer (CKAD)', 'AWS Certified Developer']","Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 10 years. Key Skills: Microservices, System Design, Go, C++, Java, MongoDB. Key Skills: Microservices, System Design, Go, C++, Java, MongoDB. Key Skills: Microservices, System Design, Go, C++, Java, MongoDB. Relevant Certifications: Certified Kubernetes Application Developer (CKAD), AWS Certified Developer. "
Product Management,Group Product Manager,Manager,9,"['JIRA', 'A/B Testing', 'Agile', 'Scrum', 'User Research']",['Certified Scrum Product Owner (CSPO)'],"Job Title: Group Product Manager Job Title: Group Product Manager Job Title: Group Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 9 years. Key Skills: JIRA, A/B Testing, Agile, Scrum, User Research. Key Skills: JIRA, A/B Testing, Agile, Scrum, User Research. Key Skills: JIRA, A/B Testing, Agile, Scrum, User Research. Relevant Certifications: Certified Scrum Product Owner (CSPO). "
Product Management,Product Manager,Manager,10,"['Scrum', 'Agile', 'A/B Testing', 'User Research', 'Product Strategy', 'JIRA', 'Roadmapping', 'Market Analysis']",[],"Job Title: Product Manager Job Title: Product Manager Job Title: Product Manager Career Level: Manager Career Level: Manager Industry: Product Management Industry: Product Management Years of Experience: approximately 10 years. Key Skills: Scrum, Agile, A/B Testing, User Research, Product Strategy, JIRA, Roadmapping, Market Analysis. Key Skills: Scrum, Agile, A/B Testing, User Research, Product Strategy, JIRA, Roadmapping, Market Analysis. Key Skills: Scrum, Agile, A/B Testing, User Research, Product Strategy, JIRA, Roadmapping, Market Analysis. "
Product Management,Senior Product Manager,Senior,6,"['Product Strategy', 'Market Analysis', 'User Research', 'A/B Testing']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 6 years. Key Skills: Product Strategy, Market Analysis, User Research, A/B Testing. Key Skills: Product Strategy, Market Analysis, User Research, A/B Testing. Key Skills: Product Strategy, Market Analysis, User Research, A/B Testing. "
Cloud Engineering,Cloud Engineer,Entry,2,"['AWS', 'Terraform', 'Prometheus', 'Grafana']","['Google Certified Professional Cloud Architect', 'Certified Kubernetes Administrator (CKA)', 'AWS Certified Solutions Architect', 'Microsoft Certified: Azure Administrator']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 2 years. Key Skills: AWS, Terraform, Prometheus, Grafana. Key Skills: AWS, Terraform, Prometheus, Grafana. Key Skills: AWS, Terraform, Prometheus, Grafana. Relevant Certifications: Google Certified Professional Cloud Architect, Certified Kubernetes Administrator (CKA), AWS Certified Solutions Architect, Microsoft Certified: Azure Administrator. "
Software Engineering,Staff Software Engineer,Lead/Principal,9,"['React', 'JavaScript', 'SQL', 'Go']",[],"Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 9 years. Key Skills: React, JavaScript, SQL, Go. Key Skills: React, JavaScript, SQL, Go. Key Skills: React, JavaScript, SQL, Go. "
Cybersecurity,Security Engineer,Mid-Level,3,"['Intrusion Detection', 'Ethical Hacking', 'Cryptography', 'ISO 27001', 'Firewalls', 'Malware Analysis', 'Network Security']",[],"Job Title: Security Engineer Job Title: Security Engineer Job Title: Security Engineer Career Level: Mid-Level Career Level: Mid-Level Industry: Cybersecurity Industry: Cybersecurity Years of Experience: approximately 3 years. Key Skills: Intrusion Detection, Ethical Hacking, Cryptography, ISO 27001, Firewalls, Malware Analysis, Network Security. Key Skills: Intrusion Detection, Ethical Hacking, Cryptography, ISO 27001, Firewalls, Malware Analysis, Network Security. Key Skills: Intrusion Detection, Ethical Hacking, Cryptography, ISO 27001, Firewalls, Malware Analysis, Network Security. "
Data Science,Senior Data Scientist,Senior,9,"['Data Mining', 'NumPy', 'R', 'PyTorch', 'Machine Learning']","['TensorFlow Developer Certificate', 'Google Professional Data Engineer']","Job Title: Senior Data Scientist Job Title: Senior Data Scientist Job Title: Senior Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 9 years. Key Skills: Data Mining, NumPy, R, PyTorch, Machine Learning. Key Skills: Data Mining, NumPy, R, PyTorch, Machine Learning. Key Skills: Data Mining, NumPy, R, PyTorch, Machine Learning. Relevant Certifications: TensorFlow Developer Certificate, Google Professional Data Engineer. "
Data Science,Lead Data Scientist,Senior,8,"['Python', 'Data Mining', 'Pandas', 'R', 'Statistics', 'SQL']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 8 years. Key Skills: Python, Data Mining, Pandas, R, Statistics, SQL. Key Skills: Python, Data Mining, Pandas, R, Statistics, SQL. Key Skills: Python, Data Mining, Pandas, R, Statistics, SQL. "
Data Science,Lead Data Scientist,Senior,10,"['TensorFlow', 'Python', 'Statistics', 'NumPy', 'Pandas']",[],"Job Title: Lead Data Scientist Job Title: Lead Data Scientist Job Title: Lead Data Scientist Career Level: Senior Career Level: Senior Industry: Data Science Industry: Data Science Years of Experience: approximately 10 years. Key Skills: TensorFlow, Python, Statistics, NumPy, Pandas. Key Skills: TensorFlow, Python, Statistics, NumPy, Pandas. Key Skills: TensorFlow, Python, Statistics, NumPy, Pandas. "
Product Management,Senior Product Manager,Senior,7,"['User Research', 'Agile', 'A/B Testing', 'Market Analysis', 'Roadmapping', 'Scrum', 'Product Strategy']",[],"Job Title: Senior Product Manager Job Title: Senior Product Manager Job Title: Senior Product Manager Career Level: Senior Career Level: Senior Industry: Product Management Industry: Product Management Years of Experience: approximately 7 years. Key Skills: User Research, Agile, A/B Testing, Market Analysis, Roadmapping, Scrum, Product Strategy. Key Skills: User Research, Agile, A/B Testing, Market Analysis, Roadmapping, Scrum, Product Strategy. Key Skills: User Research, Agile, A/B Testing, Market Analysis, Roadmapping, Scrum, Product Strategy. "
Data Science,Data Science Manager,Manager,10,"['SQL', 'Scikit-learn', 'NumPy', 'Spark']","['TensorFlow Developer Certificate', 'Google Professional Data Engineer']","Job Title: Data Science Manager Job Title: Data Science Manager Job Title: Data Science Manager Career Level: Manager Career Level: Manager Industry: Data Science Industry: Data Science Years of Experience: approximately 10 years. Key Skills: SQL, Scikit-learn, NumPy, Spark. Key Skills: SQL, Scikit-learn, NumPy, Spark. Key Skills: SQL, Scikit-learn, NumPy, Spark. Relevant Certifications: TensorFlow Developer Certificate, Google Professional Data Engineer. "
Software Engineering,Staff Software Engineer,Lead/Principal,10,"['Kubernetes', 'React', 'Go', 'MongoDB', 'Microservices', 'System Design', 'AWS', 'Node.js']",['Certified Kubernetes Application Developer (CKAD)'],"Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 10 years. Key Skills: Kubernetes, React, Go, MongoDB, Microservices, System Design, AWS, Node.js. Key Skills: Kubernetes, React, Go, MongoDB, Microservices, System Design, AWS, Node.js. Key Skills: Kubernetes, React, Go, MongoDB, Microservices, System Design, AWS, Node.js. Relevant Certifications: Certified Kubernetes Application Developer (CKAD). "
Software Engineering,Staff Software Engineer,Lead/Principal,8,"['Node.js', 'System Design', 'AWS', 'Java', 'Microservices']","['AWS Certified Developer', 'Certified Kubernetes Application Developer (CKAD)']","Job Title: Staff Software Engineer Job Title: Staff Software Engineer Job Title: Staff Software Engineer Career Level: Lead/Principal Career Level: Lead/Principal Industry: Software Engineering Industry: Software Engineering Years of Experience: approximately 8 years. Key Skills: Node.js, System Design, AWS, Java, Microservices. Key Skills: Node.js, System Design, AWS, Java, Microservices. Key Skills: Node.js, System Design, AWS, Java, Microservices. Relevant Certifications: AWS Certified Developer, Certified Kubernetes Application Developer (CKAD). "
Cloud Engineering,Cloud Engineer,Entry,1,"['AWS', 'Docker', 'Terraform', 'Grafana', 'Jenkins', 'CI/CD', 'Kubernetes']","['Google Certified Professional Cloud Architect', 'Certified Kubernetes Administrator (CKA)']","Job Title: Cloud Engineer Job Title: Cloud Engineer Job Title: Cloud Engineer Career Level: Entry Career Level: Entry Industry: Cloud Engineering Industry: Cloud Engineering Years of Experience: approximately 1 years. Key Skills: AWS, Docker, Terraform, Grafana, Jenkins, CI/CD, Kubernetes. Key Skills: AWS, Docker, Terraform, Grafana, Jenkins, CI/CD, Kubernetes. Key Skills: AWS, Docker, Terraform, Grafana, Jenkins, CI/CD, Kubernetes. Relevant Certifications: Google Certified Professional Cloud Architect, Certified Kubernetes Administrator (CKA). "
